type_of_order,order_no,account_no,sec_symbol,trading_datetime,trading_unit,trading_price,trading_amt
BUY,ORD0000001,ACC027,SCB,2025-06-06 20:56:04.603794,9300,108.4,1008120.0
BUY,ORD0000002,ACC191,TRUE,2025-06-06 16:27:52.603794,5400,6.64,35856.0
BUY,ORD0000003,ACC115,PTTEP,2025-06-06 20:23:49.603794,3000,144.97,434910.0
BUY,ORD0000004,ACC071,SCB,2025-06-06 23:08:51.603794,9900,116.27,1151073.0
BUY,ORD0000005,ACC079,GULF,2025-06-06 16:53:06.603794,1300,42.78,55614.0
BUY,ORD0000006,ACC075,SCC,2025-06-06 17:39:16.603794,9900,278.61,2758239.0
BUY,ORD0000007,ACC093,BDMS,2025-06-06 16:59:09.603794,900,20.17,18153.0
BUY,ORD0000008,ACC149,ADVANC,2025-06-06 23:02:51.603794,200,204.66,40932.0
BUY,ORD0000009,ACC137,KBANK,2025-06-06 19:32:09.603794,5500,142.22,782210.0
BUY,ORD0000010,ACC187,AOT,2025-06-06 16:22:58.603794,7900,62.17,491143.0
BUY,ORD0000011,ACC176,PTTEP,2025-06-06 16:07:57.603794,4500,122.72,552240.0
BUY,ORD0000012,ACC184,AOT,2025-06-06 16:33:09.603794,9400,52.09,489646.0
BUY,ORD0000013,ACC112,KBANK,2025-06-06 17:03:27.603794,3500,148.66,520310.0
BUY,ORD0000014,ACC020,PTTEP,2025-06-06 18:18:47.603794,1600,130.73,209168.0
BUY,ORD0000015,ACC019,CPALL,2025-06-06 20:28:20.603794,9800,53.38,523124.0
BUY,ORD0000016,ACC057,CPALL,2025-06-06 20:23:14.603794,2100,67.33,141393.0
BUY,ORD0000017,ACC056,ADVANC,2025-06-06 16:58:33.603794,7700,180.96,1393392.0
BUY,ORD0000018,ACC168,SCC,2025-06-06 21:05:53.603794,5400,288.82,1559628.0
BUY,ORD0000019,ACC081,ADVANC,2025-06-06 18:42:21.603794,2800,214.84,601552.0
BUY,ORD0000020,ACC076,ADVANC,2025-06-06 18:24:26.603794,5000,214.76,1073800.0
BUY,ORD0000021,ACC187,AOT,2025-06-06 17:18:20.603794,5000,65.63,328150.0
BUY,ORD0000022,ACC043,ADVANC,2025-06-06 23:12:46.603794,2400,199.31,478344.0
