type_of_order,order_no,account_no,sec_symbol,trading_datetime,trading_unit,trading_price,trading_amt
BUY,ORD20250703201044835056_7857,ACC040,TISCO,2025-06-01 09:01:38,1200,95.05,114060.0
BUY,ORD20250703201044835776_5188,ACC094,DELTA,2025-06-01 09:06:06,1200,86.91,104292.0
BUY,ORD20250703201044835025_6939,ACC032,SCC,2025-06-01 09:06:21,600,254.5,152700.0
BUY,ORD20250703201044835339_9695,ACC005,TISCO,2025-06-01 09:09:35,8900,97.65,869085.0
BUY,ORD20250703201044835114_4776,ACC114,KTC,2025-06-01 09:11:01,6600,45.33,299178.0
BUY,ORD20250703201044835041_6848,ACC116,KTC,2025-06-01 09:12:44,3300,48.51,160083.0
BUY,ORD20250703201044835108_8422,ACC114,KTC,2025-06-01 09:15:50,7400,48.82,361268.0
BUY,ORD20250703201044834060_9763,ACC004,TISCO,2025-06-01 09:16:00,3300,96.67,319011.0
BUY,ORD20250703201044835596_4071,ACC161,TISCO,2025-06-01 09:18:15,9700,94.43,915971.0
BUY,ORD20250703201044835587_8425,ACC008,DELTA,2025-06-01 09:18:16,7800,92.94,724932.0
BUY,ORD20250703201044834308_9563,ACC177,CPALL,2025-06-01 09:19:48,1600,58.19,93104.0
BUY,ORD20250703201044835766_4820,ACC095,ADVANC,2025-06-01 09:22:10,1400,222.95,312130.0
SELL,ORD20250703201044835462_9841,ACC069,GULF,2025-06-01 09:22:36,200,49.94,9988.0
SELL,ORD20250703201044835218_9875,ACC077,GULF,2025-06-01 09:22:49,200,45.78,9156.0
BUY,ORD20250703201044835297_4171,ACC122,ADVANC,2025-06-01 09:23:01,1100,207.49,228239.0
BUY,ORD20250703201044835148_3657,ACC053,TRUE,2025-06-01 09:24:59,5200,5.63,29276.0
BUY,ORD20250703201044834015_2342,ACC104,SCC,2025-06-01 09:25:05,9400,257.47,2420218.0
BUY,ORD20250703201044834470_7690,ACC064,MINT,2025-06-01 09:27:14,1000,35.56,35560.0
SELL,ORD20250703201044835761_8015,ACC095,CRC,2025-06-01 09:27:30,300,37.0,11100.0
BUY,ORD20250703201044835472_4654,ACC026,KTB,2025-06-01 09:28:20,7200,19.86,142992.0
SELL,ORD20250703201044834095_3398,ACC159,ADVANC,2025-06-01 09:31:44,700,214.89,150423.0
BUY,ORD20250703201044835285_8012,ACC122,BBL,2025-06-01 09:31:45,2300,131.07,301461.0
BUY,ORD20250703201044835135_4843,ACC088,CRC,2025-06-01 09:32:48,6100,36.2,220820.0
BUY,ORD20250703201044834877_3354,ACC023,KTB,2025-06-01 09:37:13,3600,18.55,66780.0
BUY,ORD20250703201044834402_3990,ACC047,TOP,2025-06-01 09:37:14,8000,59.48,475840.0
BUY,ORD20250703201044835152_7085,ACC147,CRC,2025-06-01 09:39:31,1600,32.59,52144.0
BUY,ORD20250703201044835558_5310,ACC140,CPALL,2025-06-01 09:40:18,8500,56.15,477275.0
BUY,ORD20250703201044835104_3263,ACC160,AOT,2025-06-01 09:43:29,300,62.03,18609.0
BUY,ORD20250703201044835739_4546,ACC076,BBL,2025-06-01 09:43:45,3400,142.8,485520.0
BUY,ORD20250703201044834965_8758,ACC105,DELTA,2025-06-01 09:43:45,9700,90.18,874746.0
SELL,ORD20250703201044834195_9384,ACC111,KBANK,2025-06-01 09:44:21,700,149.53,104671.0
SELL,ORD20250703201044834655_2431,ACC068,SCC,2025-06-01 09:47:51,500,255.82,127910.0
BUY,ORD20250703201044835575_2076,ACC143,KTB,2025-06-01 09:48:41,6600,18.82,124212.0
BUY,ORD20250703201044834929_4558,ACC100,DELTA,2025-06-01 09:51:25,4300,80.06,344258.0
SELL,ORD20250703201044834711_8196,ACC033,MINT,2025-06-01 09:52:21,100,31.49,3149.0
BUY,ORD20250703201044834519_8006,ACC113,MINT,2025-06-01 09:52:22,2200,34.37,75614.0
BUY,ORD20250703201044834706_2204,ACC033,ADVANC,2025-06-01 09:53:44,600,217.71,130626.0
BUY,ORD20250703201044834639_7132,ACC150,DELTA,2025-06-01 09:54:15,2300,88.86,204378.0
BUY,ORD20250703201044834110_8486,ACC190,OSP,2025-06-01 09:54:18,4800,20.26,97248.0
BUY,ORD20250703201044835380_3900,ACC010,OSP,2025-06-01 09:54:27,5100,21.72,110772.0
BUY,ORD20250703201044834411_1838,ACC047,CRC,2025-06-01 09:55:12,9300,35.39,329127.0
BUY,ORD20250703201044835634_3783,ACC124,KTC,2025-06-01 09:55:35,4400,54.81,241164.0
BUY,ORD20250703201044834426_9221,ACC115,KTC,2025-06-01 09:55:48,5300,50.85,269505.0
BUY,ORD20250703201044835493_2792,ACC049,KTB,2025-06-01 09:58:14,5000,18.63,93150.0
SELL,ORD20250703201044835252_9927,ACC057,OSP,2025-06-01 09:59:01,500,24.38,12190.0
BUY,ORD20250703201044834725_5007,ACC163,GULF,2025-06-01 09:59:48,4600,40.61,186806.0
BUY,ORD20250703201044835466_2509,ACC026,SCB,2025-06-01 10:02:00,7600,121.43,922868.0
BUY,ORD20250703201044834130_6402,ACC144,ADVANC,2025-06-01 10:02:14,7200,216.82,1561104.0
BUY,ORD20250703201044835331_1011,ACC005,GULF,2025-06-01 10:02:39,1000,49.41,49410.0
SELL,ORD20250703201044835611_1526,ACC024,OSP,2025-06-01 10:03:48,3200,22.74,72768.0
BUY,ORD20250703201044834055_6152,ACC004,TRUE,2025-06-01 10:05:29,9300,5.51,51243.0
SELL,ORD20250703201044834049_3649,ACC004,MINT,2025-06-01 10:10:33,200,32.28,6456.0
BUY,ORD20250703201044834844_6906,ACC153,KTC,2025-06-01 10:10:35,9300,50.45,469185.0
SELL,ORD20250703201044835539_3877,ACC175,TISCO,2025-06-01 10:12:54,700,94.59,66213.0
BUY,ORD20250703201044834759_8267,ACC166,TISCO,2025-06-01 10:13:40,6000,97.92,587520.0
BUY,ORD20250703201044835751_6599,ACC076,INTUCH,2025-06-01 10:14:40,8300,79.06,656198.0
