title,url,content,scraped_at
"35-year-old American relocated to China and lives on $30,000 a year",https://www.cnbc.com/2025/07/03/american-moved-to-china-relocated.html,,2025-07-03 18:17:56.965269
What powered the stock market higher during its short and sweet record week,https://www.cnbc.com/2025/07/03/heres-what-powered-the-stock-market-higher-during-its-short-and-sweet-record-week.html,,2025-07-03 18:17:57.415612
Trump ‘big beautiful’ bill gives top 1% biggest tax cuts in these states,https://www.cnbc.com/2025/07/03/trump-big-beautiful-bill-gives-top-1percent-biggest-tax-cuts-in-these-states-.html,"Amassive package of tax cutschampioned by President Trump andawaiting a final votein the Housewould be a windfallfor the wealthiest U.S. households. But the size of that financial benefit depends largely on wherehigh-income taxpayerslive, according to a newanalysisby the Institute on Taxation and Economic Policy.
The legislation would give the top 1% of U.S. households an average tax cut of about $66,000, or about 2.4% of their income, in 2026, according to ITEP, a left-leaning think tank. (These households have incomes of $917,000 or more per year, averaging about $2.7 million, it said.)
Some households stand to get a much bigger tax benefit.
The wealthiest households in three states — Wyoming, South Dakota and Texas — would see their annual tax bills fall by more than $100,000, ITEP found.
In Wyoming, the top 1% would see their taxes fall most: by an average of about $133,000 (or 3% of income) in 2026, it said. The average income of the top 1% in the state is about $4.5 million.
""The bill is most advantageous to conservative-leaning states that have a lot of very wealthy people living within their borders,"" said Carl Davis, ITEP's research director.
These states also don't levy personal income taxes, he said.
Wyoming and Texas ""are classic examples of states with a lot of wealthy people and which tax those wealthy people incredibly lightly,"" Davis said.
Senate Republicanspassed the legislation, originally called the One Big Beautiful Bill Act, on Tuesday with the slimmest of margins. House Republicans are poised to pass the bill Thursday and send it to the president for his signature.
The legislation offers more than $4 trillion of net tax cuts over a decade, with most benefits accruing to higher-income households, analyses have found. It also slashes the social safety net, cutting billions of dollars from programs like Medicaid and food stamps meant to help lower earners.
More from Personal Finance:Top five tax changes for the wealthy in Trump megabillTrump tax deductions may not carry large benefits for low earnersTrump megabill axes $7,500 EV tax credit after September
The centerpiece of the bill is an extension of 2017 tax cuts enacted during President Trump's first term in office.
Overall, the legislation lowers income tax rates, exempts a larger share of wealthy estates from taxation and offers tax breaks to business owners. These are among the core ways the GOP bill benefits high-income households, Davis said.
It also caps the amount of state and local income taxes and property taxes that households can deduct from their taxable income each year, at $40,000.
That ""SALT"" policydoesn't negatively impact wealthy residents in states like Wyoming, South Dakota and Texas, where residents don't owe state income tax, Davis said. But it has a large impact on states with high state and local income taxes and property taxes.
In other words, high-income residents of Wyoming, South Dakota and Texas generally get most of the tax upside and not much downside, he said.
Conversely, the highest earners in California and New Jersey would see a smaller tax cut in 2026, averaging about $34,000 and $21,000, respectively, ITEP found. That represents about 1% of their income in each state.
Separate analyses have found that the wealthiest households will reap the largest financial benefits from the GOP bill.
The top 20% of U.S. households (earning more than $217,000 a year)would get a tax cutequivalent to 3.4% of their after-tax income in 2026, according to the Tax Policy Center. Meanwhile, the bottom 20% would get a 0.8% tax cut.
Its analysis only examined the tax portions of the legislation.
Overall, more comprehensive analyses that also account for cuts to programs like Medicaid and the Supplemental Nutrition Assistance Program, the lowest earnerswould be worse off, according to analyses by the Budget Lab at Yale University and the Congressional Budget Office, which modeled similar legislation passed by the House last month.",2025-07-03 18:17:58.622874
Wall Street heads braces for longer trade negotiations as deadlines come up,https://www.cnbc.com/2025/07/03/stock-market-next-week-outlook-for-july-7-11-2025.html,,2025-07-03 18:17:59.055815
Ilya Sutskever becomes CEO of Safe Superintelligence after Meta poached Daniel Gross,https://www.cnbc.com/2025/07/03/ilya-sutskever-is-ceo-of-safe-superintelligence-after-meta-hired-gross.html,"OpenAI co-founder Ilya Sutskever said he will assume the CEO role at Safe Superintelligence, theartificial intelligencestartup helaunchedlast year.
Sutskever's announcement on Thursday comes afterMetapoachedDaniel Gross, a longtime entrepreneur and AI investor who had been CEO of Safe Superintelligence.
In apost on X, Sutskever said Gross' time at the company has been ""winding down,"" and that his last day was June 29. Safe Superintelligence co-founder Daniel Levy will now serve as president, and the company's technical team will continue to report to Sutskever, he said.
Meta CEOMark Zuckerberghas been on a multibillion-dollar AI hiring spree, highlighted by a $14 billion investment in Scale AI that brought the startup's founder Alexandr Wang and a small group of his lead engineers to Meta.
Zuckerberg announceda new organizationon Monday called Meta Superintelligence Labs that's made up of top AI researchers and engineers. However, Gross' name was not listed among the new hires mentioned by Zuckerberg.
Gross did not respond to CNBC's request for comment.
During Zuckerberg's AI hiring blitz, Meta tried to acquire Safe Superintelligence, but Sutskever rebuffed those efforts,CNBC previously reported. Safe Superintelligence wasreportedlyvalued at $32 billion in a fundraising round in April.
Sutskever confirmed his plans on Thursday to keep running the company as an independent organization.
""⁠You might have heard rumors of companies looking to acquire us. We are flattered by their attention but are focused on seeing our work through,"" Sutskever wrote. ""We have the compute, we have the team, and we know what to do. Together we will keep building safe superintelligence.""
Sutskever previously served as OpenAI's chief scientist and co-led the company's Superalignment team with Jan Leike, who left to join rival AI firm Anthropic.
WATCH:Meta poaches 11 AI all-stars as Zuckerberg teases ‘Superintelligence’",2025-07-03 18:17:59.656438
Mark Cuban: The world's first trillionaire could be someone who's great with AI,https://www.cnbc.com/2025/07/03/mark-cuban-the-worlds-first-trillionaire-could-use-ai-to-get-there.html,,2025-07-03 18:18:00.710217
CFRA hikes outlook for S&P 500 as stock market rises to new highs,https://www.cnbc.com/2025/07/03/cfra-hikes-outlook-for-sp-500-as-stock-market-rises-to-new-highs.html,,2025-07-03 18:18:01.620733
CoreWeave is the first cloud provider to deploy Nvidia's latest AI chips,https://www.cnbc.com/2025/07/03/coreweave-dell-blackwell-ultra-nvidia.html,"In this article
Nvidia'sBlackwell Ultra chips, the company's next-generation graphics processor forartificial intelligence, have been commercially deployed at CoreWeave, the companiesannouncedon Thursday.
CoreWeave has received shipments of Dell-built shipments based around Nvidia's GB300 NVL72 AI systems,Dellsaid on Thursday. It's the first cloud provider to install systems based aroundBlackwellUltra.
The Blackwell Ultra is Nvidia's latest chip, expected to ship in volume during the rest of the year. The systems that CoreWeave is installing are liquid-cooled and include 72 Blackwell Ultra GPUs and 36 Nvidia Grace CPUs. The systems are assembled and tested in the U.S., Dell said.
CoreWeave shares rose 6% during trading on Thursday, Dell shares were up about 2% and Nvidia rose less than 2%.
The announcement is a milestone for Nvidia.
AI developers still clamor for the latest Nvidia chips, which have improvements that make them better for training and deploying models.
Nvidia said Blackwell Ultra can produce 50 times more AI content than its predecessor, Blackwell.
Investors closely watch how Nvidia manages the transition when it announces new AI chips to see if there are production issues or delays. Nvidia CFO Colette Kress said in May that Blackwell Ultra shipments would start in the current quarter.
It's also a win forCoreWeave, a cloud provider that rents access to Nvidia GPUs to other clouds and AI developers. Although CoreWeave is smaller than the cloud services operated byAmazon,Google, andMicrosoft, its ability to offer Nvidia's latest chips first give it a way to differentiate itself.
CoreWeave historically has a close relationship with Nvidia, which owns a stake in thecloud provider.CoreWeave went public earlier this year, and the stock price has quadrupled since its IPO.",2025-07-03 18:18:02.014958
"How to avoid these ‘tax torpedoes’ in retirement, per UBS",https://www.cnbc.com/2025/07/03/how-to-avoid-these-tax-torpedoes-in-retirement-per-ubs.html,,2025-07-03 18:18:02.405127
V. J. Edgecombe had no electricity for 7 years—now he could sign a contract worth $50.4M,https://www.cnbc.com/2025/07/03/v-j-edgecombe-had-no-electricity-for-7-years-now-he-could-sign-a-contract-worth-50-million.html,,2025-07-03 18:18:02.762769
